	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
12286	LOC108350845	chr4	151100037-151102685	49	0.0144535	151096885	1.840026973	
12287	LOC108350846	chr4	151178450-151183152	61	0.00863969	151185673	2.06350184	
12288	LOC108350847	chr4	178343075-178347991	2	0.465729	178357988	0.331866719	
12289	LOC108350848	chr4	180331734-180337815	19	0.852367	180326398	0.069373373	
12290	LOC108350853	chr4	32691401-32698581	36	0.222963	32685080	0.651767201	
12291	LOC108350856	chr4	39141339-39147577	21	0.286223	39153228	0.543295471	
12292	LOC108350859	chr4	80299023-80300018	116	0.346189	80301424	0.460686736	
12293	LOC108350862	chr4	89881919-89900021	13	0.0275308	89901829	1.560181169	
12294	LOC108350863	chr4	89925582-89927014	2	0.460474	89918418	0.336794887	
12295	LOC108350866	chr4	104301151-104303423	50	0.486641	104295330	0.312791304	
12296	LOC108350871	chr4	130118653-130152487	50	0.107531	130120670	0.968466315	
12297	LOC108350872	chr4	130537775-130548325	2	0.0128397	130557597	1.891445123	
12298	LOC108350874	chr4	141021818-141023201	41	0.0184664	141016025	1.733617761	
12299	LOC108350875	chr4	146972671-146982399	34	0.19702	146977287	0.705489685	
12300	LOC108350876	chr4	149183162-149191926	127	0.00566522	149182194	2.24678322	
12301	LOC108350877	chr4	161994919-161995741	50	0.630358	161996635	0.200412731	
12302	LOC108350919	chr5	4500826-4515113	40	0.165612	4505162	0.780908198	
12303	LOC108350921	chr5	5463824-5483036	14	0.473504	5457333	0.324676348	
12304	LOC108350922	chr5	"8075429-8078011,8076830-8078011"	13	0.405952	8084325	0.391525315	
12305	LOC108350923	chr5	"14186859-14190448,14186859-14190448"	46	0.0237314	14185839	1.62467664	
12306	LOC108350924	chr5	17902594-17919696	32	0.724941	17896740	0.139697337	
12307	LOC108350925	chr5	"19429125-19456618,19429125-19456618,19431812-19456618"	26	0.153883	19455453	0.812809356	
12308	LOC108350926	chr5	19905768-19907788	32	0.0524185	19907203	1.280515411	
12309	LOC108350927	chr5	20499769-20500926	89	0.0281068	20491930	1.551188597	
12310	LOC108350928	chr5	21525202-21528168	24	0.0265328	21515846	1.576216917	
12311	LOC108350929	chr5	21869011-21887949	129	8.34E-05	21888514	4.078723047	
12312	LOC108350930	chr5	22047967-22053026	12	0.0971373	22060508	1.012613972	
12313	LOC108350931	chr5	22202659-22212323	92	0.00577033	22192842	2.238799349	
12314	LOC108350932	chr5	"24256060-24282359,24260342-24282359"	136	0.0979821	24268985	1.008853257	
12315	LOC108350936	chr5	"26142456-26159651,26142456-26159651,26142456-26164615"	85	0.217591	26173536	0.662359072	
12316	LOC108350938	chr5	28852659-28861233	112	0.0266452	28849208	1.574381016	
12317	LOC108350939	chr5	33627920-33638672	32	0.0140902	33618498	1.851082842	
12318	LOC108350941	chr5	39899824-39904976	98	0.0387243	39898138	1.412016424	
12319	LOC108350942	chr5	"43603167-43605153,43603167-43605153"	51	0.362632	43600141	0.440533875	
12320	LOC108350943	chr5	46929509-46931021	56	0.442082	46938161	0.354497168	
12321	LOC108350944	chr5	47149750-47163178	27	0.711893	47157337	0.147585277	
12322	LOC108350946	chr5	47521013-47528784	23	0.392657	47515130	0.405986656	
12323	LOC108350948	chr5	48548542-48561255	5	0.938678	48563331	0.027483361	
12324	LOC108350949	chr5	48695107-48697705	9	0.7812	48696906	0.107237765	
12325	LOC108350950	chr5	49266915-49269688	37	0.130542	49279536	0.884249738	
12326	LOC108350951	chr5	49955443-49982811	32	0.126869	49975792	0.896644483	
12327	LOC108350952	chr5	49955840-49962215	7	0.22727	49946326	0.643457888	
12328	LOC108350955	chr5	50691508-50713920	33	0.0762603	50719014	1.117701491	
12329	LOC108350956	chr5	56870666-56883247	109	0.388957	56884010	0.410098408	
12330	LOC108350957	chr5	58021105-58032277	11	0.74611	58030067	0.127197139	
12331	LOC108350958	chr5	59142182-59143712	12	0.859945	59137108	0.065529324	
12332	LOC108350959	chr5	59583033-59587626	41	0.781121	59579559	0.107281686	
12333	LOC108350961	chr5	60923153-60926559	4	0.0242942	60928880	1.614497398	
12334	LOC108350962	chr5	62214256-62218066	36	0.015813	62214000	1.800985729	
12335	LOC108350963	chr5	62189901-62193366	33	0.0158462	62189578	1.800074867	
12336	LOC108350964	chr5	63206157-63208804	86	0.000514762	63207699	3.28839352	
12337	LOC108350966	chr5	64227633-64238224	10	0.0680943	64230472	1.16688924	
12338	LOC108350967	chr5	64057254-64062867	32	0.110711	64065360	0.955809226	
12339	LOC108350968	chr5	"64294871-64326621,64294871-64326621,64321490-64326621"	40	8.71E-05	64308287	4.060072104	
12340	LOC108350969	chr5	65134716-65141796	6	0.880131	65135280	0.055452682	
12341	LOC108350970	chr5	"66931962-66947441,66934522-66947441,66934522-66947441"	23	0.0138814	66951190	1.857566731	
12342	LOC108350972	chr5	70068711-70074254	104	0.306639	70059251	0.51337261	
12343	LOC108350973	chr5	70611075-70622615	66	0.25198	70622129	0.598633928	
12344	LOC108350974	chr5	70973575-70974468	48	0.111023	70974722	0.954587042	
12345	LOC108350975	chr5	71406042-71407876	25	0.51643	71412130	0.286988537	
12346	LOC108350976	chr5	71433443-71476186	76	0.412934	71437869	0.384119357	
12347	LOC108350977	chr5	73297395-73402341	193	0.13132	73365220	0.881669126	
12348	LOC108350978	chr5	74299692-74301445	32	0.0215446	74290304	1.666661565	
12349	LOC108350982	chr5	78073746-78079417	2	0.0572918	78071645	1.241907533	
12350	LOC108350983	chr5	78298898-78300995	40	0.228384	78303453	0.641334325	
12351	LOC108350985	chr5	"85123977-85142289,85123977-85154761"	11	0.289383	85142464	0.538526985	
12352	LOC108350986	chr5	88211185-88213876	6	0.556428	88214493	0.254591024	
12353	LOC108350988	chr5	92031063-92034015	25	0.390272	92038317	0.408632606	
12354	LOC108350989	chr5	92047354-92062526	111	0.325304	92067510	0.487710597	
12355	LOC108350991	chr5	"99320003-99348150,99322452-99348150"	111	0.374815	99339744	0.426183037	
12356	LOC108350994	chr5	105926937-105944001	35	0.452104	105942874	0.344761651	
12357	LOC108350995	chr5	105959267-105968271	54	0.442482	105967710	0.354104392	
12358	LOC108350996	chr5	107178123-107203908	66	0.593149	107169506	0.226836197	
12359	LOC108350998	chr5	107612540-107620590	23	0.119426	107624824	0.922901114	
12360	LOC108350999	chr5	107969448-107989209	124	0.162054	107998020	0.790340245	
12361	LOC108351000	chr5	110751186-110772073	56	0.0758768	110769378	1.119890993	
12362	LOC108351001	chr5	110706778-110725926	77	0.0613331	110710281	1.212305084	
12363	LOC108351003	chr5	113555201-113558173	30	0.529641	113563507	0.276018403	
12364	LOC108351004	chr5	113970612-113983165	71	0.166939	113983063	0.777442192	
12365	LOC108351005	chr5	116773529-116780831	21	0.525906	116771846	0.279091874	
12366	LOC108351006	chr5	119628612-119629260	25	0.0608949	119626632	1.215419078	
12367	LOC108351008	chr5	"125197589-125204093,125197589-125223561"	26	0.248529	125199559	0.604622928	
12368	LOC108351009	chr5	125794477-125819133	101	0.0731544	125786011	1.135759547	
12369	LOC108351010	chr5	126457856-126470587	85	0.0180911	126466713	1.742535026	
12370	LOC108351012	chr5	128875439-128901117	153	0.192818	128898401	0.714852426	
12371	LOC108351013	chr5	129340748-129342489	15	0.141895	129332288	0.848032908	
12372	LOC108351014	chr5	131674242-131679416	71	0.0167622	131682496	1.775668982	
12373	LOC108351015	chr5	131681181-131687750	69	0.0167622	131682496	1.775668982	
12374	LOC108351017	chr5	"132418012-132438515,132418012-132438515"	317	0.140912	132422681	0.851052021	
12375	LOC108351020	chr5	137681695-137685602	2	0.00740189	137693667	2.130657373	
12376	LOC108351021	chr5	"138145328-138154607,138145328-138154607"	79	0.00875079	138143316	2.057952738	
12377	LOC108351024	chr5	139975920-139977330	4	0.503022	139966320	0.29841302	
12378	LOC108351025	chr5	139980119-139983539	1	0.70139	139971684	0.15404043	
12379	LOC108351026	chr5	140841776-140848591	61	0.117344	140858312	0.930539112	
12380	LOC108351027	chr5	140931859-140938267	43	0.235242	140947494	0.628485137	
12381	LOC108351028	chr5	142880109-142889189	18	0.690095	142871521	0.161091119	
12382	LOC108351029	chr5	143016638-143025008	36	0.423801	143021617	0.372838023	
12383	LOC108351030	chr5	"143651938-143654219,143651938-143668823"	84	0.0220349	143643272	1.656888916	
12384	LOC108351031	chr5	143517065-143517886	30	0.172143	143508343	0.764110633	
12385	LOC108351032	chr5	144153305-144154429	22	0.0440676	144158105	1.355880601	
12386	LOC108351035	chr5	144997216-145005142	30	0.925238	145006112	0.033746539	
12387	LOC108351036	chr5	145616751-145622998	14	0.884574	145617624	0.05326583	
12388	LOC108351037	chr5	145861101-145863558	28	0.377751	145864752	0.422794377	
12389	LOC108351038	chr5	"147579384-147649644,147579385-147598070"	308	0.111976	147639520	0.95087505	
12390	LOC108351039	chr5	147827439-147830610	61	0.080433	147839691	1.094565733	
12391	LOC108351040	chr5	"148966200-148978039,148966200-148978039,148966200-148978039,148966200-148978039,148966200-148978039,148969589-148978039"	56	0.0634899	148964732	1.197295357	
12392	LOC108351041	chr5	149430782-149436326	14	0.0338367	149424399	1.470611999	
12393	LOC108351042	chr5	150486438-150488968	1	0.781472	150484076	0.107086578	
12394	LOC108351045	chr5	153945975-153974495	1	0.217145	153981821	0.663250166	
12395	LOC108351050	chr5	157791675-157799410	4	0.0894589	157788923	1.048376446	
12396	LOC108351051	chr5	158126141-158133634	25	0.0601125	158131025	1.22103521	
12397	LOC108351052	chr5	158392959-158510310	297	8.14E-05	158487112	4.089425216	
12398	LOC108351053	chr5	"159093103-159155377,159093103-159171870"	346	0.116609	159095459	0.933267929	
12399	LOC108351054	chr5	"159754294-159756707,159754294-159761166,159754294-159761166"	46	9.73E-05	159745534	4.011727397	
12400	LOC108351055	chr5	160555176-160560940	129	0.00122007	160559099	2.913615252	
12401	LOC108351056	chr5	162029409-162032327	17	6.29E-05	162028395	4.201256844	
12402	LOC108351058	chr5	164923227-164923678	23	0.392056	164918499	0.406651895	
12403	LOC108351059	chr5	"165022251-165025432,165022251-165027934"	62	0.488175	165033619	0.311424465	
12404	LOC108351060	chr5	165122631-165136171	47	0.213529	165130562	0.670543134	
12405	LOC108351061	chr5	166980912-166984343	43	0.248495	166972213	0.604682345	
12406	LOC108351062	chr5	167037524-167054705	55	0.0573625	167063722	1.241371929	
12407	LOC108351063	chr5	167267926-167270543	36	0.0378133	167275260	1.42235542	
12408	LOC108351065	chr5	167831381-167840242	11	0.0411769	167833609	1.385346352	
12409	LOC108351067	chr5	"172519550-172526936,172519550-172528225"	39	0.425009	172519862	0.371601873	
12410	LOC108351075	chr5	3897310-3900630	1	0.928677	3902362	0.03213531	
12411	LOC108351076	chr5	4025938-4057730	42	0.0713503	4056134	1.146604197	
12412	LOC108351077	chr5	5467057-5468079	9	0.473504	5457333	0.324676348	
12413	LOC108351082	chr5	24398701-24403170	33	0.0235058	24389118	1.628824963	
12414	LOC108351087	chr5	50731716-50732388	30	0.0768859	50739425	1.114153298	
12415	LOC108351090	chr5	55936980-55940125	16	0.250553	55929310	0.601100393	
12416	LOC108351094	chr5	88143046-88144732	14	0.527482	88141739	0.277792356	
12417	LOC108351095	chr5	88147084-88149027	17	0.527482	88141739	0.277792356	
12418	LOC108351099	chr5	98965935-98973405	81	0.00197123	98958136	2.7052627	
12419	LOC108351111	chr5	"93366591-93402313,93366591-93404254"	152	0.493985	93378139	0.306286238	
12420	LOC108351112	chr5	116688732-116699793	48	0.536522	116700873	0.270412465	
12421	LOC108351115	chr5	6203543-6205472	48	0.0687462	6194915	1.162751303	
12422	LOC108351116	chr5	6404465-6422914	3	0.917473	6422513	0.037406708	
12423	LOC108351118	chr5	10768945-10771939	24	0.396643	10771942	0.401600206	
12424	LOC108351124	chr5	44456151-44459048	20	0.297464	44468918	0.526565586	
12425	LOC108351126	chr5	68340467-68371329	42	0.238196	68358427	0.623065536	
12426	LOC108351128	chr5	75116594-75122609	31	0.0992724	75126594	1.003171479	
12427	LOC108351130	chr5	88150846-88153176	14	0.527482	88141739	0.277792356	
12428	LOC108351134	chr5	106361143-106362318	17	0.520801	106361260	0.283328191	
12429	LOC108351136	chr5	113984224-113985625	54	0.166939	113983063	0.777442192	
12430	LOC108351137	chr5	115649076-115650141	21	0.84743	115644968	0.071896166	
12431	LOC108351138	chr5	118099389-118101877	20	0.539136	118111508	0.268301668	
12432	LOC108351139	chr5	136543520-136551978	28	0.054987	136538266	1.259739974	
12433	LOC108351142	chr5	142006237-142008277	43	0.115186	142009360	0.938600303	
12434	LOC108351144	chr5	148748580-148750871	1	0.0902671	148760744	1.04447051	
12435	LOC108351158	chr6	2399533-2402208	4	0.0749024	2409266	1.125504267	
12436	LOC108351159	chr6	"2527061-2537107,2527061-2537107,2527061-2537107"	41	0.00495598	2539580	2.304870455	
12437	LOC108351160	chr6	3455858-3463563	39	0.181947	3447340	0.740055101	
12438	LOC108351161	chr6	3623082-3630907	38	0.0732078	3624057	1.135442644	
12439	LOC108351163	chr6	4395559-4402880	19	0.619274	4391256	0.208117153	
12440	LOC108351164	chr6	6413500-6424600	65	0.0452629	6409501	1.344257624	
12441	LOC108351165	chr6	"6709859-6714957,6709859-6721766"	5	0.18176	6715829	0.740501686	
12442	LOC108351166	chr6	7382933-7384831	47	0.570431	7394635	0.243796881	
12443	LOC108351167	chr6	"8864197-8884465,8866389-8884465,8868554-8884464,8868554-8884465,8868554-8884469,8868554-8884481"	21	0.199238	8867216	0.700627826	
12444	LOC108351168	chr6	8829300-8832836	39	0.362275	8836882	0.440961635	
12445	LOC108351169	chr6	9129970-9140821	32	0.351705	9125212	0.453821458	
12446	LOC108351170	chr6	9214327-9233748	52	0.523847	9233542	0.280795539	
12447	LOC108351171	chr6	10589698-10590238	57	0.184464	10583211	0.734088378	
12448	LOC108351172	chr6	11093333-11097719	29	0.110012	11098646	0.95855994	
12449	LOC108351174	chr6	"13299382-13331224,13299382-13331224"	48	0.130086	13332016	0.88576944	
12450	LOC108351178	chr6	21797146-21799761	45	0.0113622	21792694	1.94453757	
12451	LOC108351179	chr6	22434600-22511118	98	0.000311776	22506416	3.506157319	
12452	LOC108351180	chr6	22988726-23002524	48	0.164482	23001374	0.783881622	
12453	LOC108351181	chr6	23205627-23214695	36	0.070564	23199340	1.151416809	
12454	LOC108351182	chr6	"23725712-23845519,23802441-23845519"	184	0.038961	23846221	1.409369905	
12455	LOC108351183	chr6	23771354-23778358	33	0.119031	23767049	0.924339918	
12456	LOC108351184	chr6	"24192827-24242308,24202919-24242308,24202919-24242308"	104	0.0366212	24239237	1.436267429	
12457	LOC108351185	chr6	24256908-24269969	149	0.0519756	24248216	1.284200489	
12458	LOC108351187	chr6	26407403-26423879	9	0.207217	26400168	0.683574618	
12459	LOC108351200	chr6	33699420-33717791	25	0.318363	33697593	0.497077412	
12460	LOC108351204	chr6	"39504096-39515388,39504096-39516217"	72	0.116116	39514312	0.935107933	
12461	LOC108351205	chr6	"39978939-40056684,39978948-40056684"	130	0.414668	40000318	0.382299478	
12462	LOC108351206	chr6	40092992-40159129	155	0.227138	40109330	0.643710203	
12463	LOC108351207	chr6	41057443-41069494	31	0.317861	41070902	0.497762755	
12464	LOC108351208	chr6	41024562-41034056	47	0.301904	41030649	0.520131133	
12465	LOC108351209	chr6	42912224-42913538	21	0.176623	42920820	0.752952743	
12466	LOC108351210	chr6	43099266-43102006	22	0.26787	43092114	0.572075922	
12467	LOC108351211	chr6	"43798739-43817002,43798739-43817002"	81	0.374633	43815470	0.42639397	
12468	LOC108351212	chr6	45629387-45660787	124	0.298624	45666330	0.524875292	
12469	LOC108351213	chr6	45879965-45885026	43	0.443346	45880725	0.353257206	
12470	LOC108351214	chr6	46326986-46347420	72	0.428704	46317879	0.367842464	
12471	LOC108351215	chr6	46440018-46445035	19	0.681308	46449225	0.166656511	
12472	LOC108351216	chr6	46606998-46610980	1	0.588975	46600259	0.229903139	
12473	LOC108351217	chr6	46866221-46906567	104	0.226075	46861267	0.64574746	
12474	LOC108351218	chr6	"48608586-48745720,48608586-48745720,48608586-48745720,48608586-48745720"	214	0.015338	48729761	1.814231267	
12475	LOC108351219	chr6	50864325-50869489	54	0.0595849	50869840	1.224863785	
12476	LOC108351220	chr6	50873359-50875303	41	0.0595849	50869840	1.224863785	
12477	LOC108351221	chr6	51715012-51738361	144	0.00184356	51745878	2.734342723	
12478	LOC108351222	chr6	51987496-51994096	83	0.00171475	51983279	2.765799188	
12479	LOC108351223	chr6	52712882-52715369	71	0.0084062	52715820	2.075400281	
12480	LOC108351224	chr6	53161576-53183865	89	0.015821	53164839	1.800766069	
12481	LOC108351225	chr6	"54363664-54389510,54363664-54394640"	118	0.276434	54359840	0.558408542	
12482	LOC108351226	chr6	56400394-56411242	84	0.531694	56395046	0.274338241	
12483	LOC108351227	chr6	"57219379-57257946,57219379-57257946"	125	0.227169	57237327	0.643650934	
12484	LOC108351228	chr6	63429828-63439081	86	0.0274601	63434406	1.561297886	
12485	LOC108351230	chr6	"65779351-65787252,65779351-65787252"	50	0.0292097	65793742	1.534472903	
12486	LOC108351233	chr6	72270910-72359999	184	0.0464153	72270911	1.333338838	
12487	LOC108351234	chr6	72313339-72313928	42	0.0556233	72311102	1.254743249	
12488	LOC108351236	chr6	75898276-75925689	109	0.384502	75894326	0.415101397	
12489	LOC108351237	chr6	76258773-76267492	60	0.255733	76254135	0.592213227	
12490	LOC108351238	chr6	77139458-77152814	76	0.38057	77139826	0.41956545	
12491	LOC108351239	chr6	77297875-77319305	66	0.282835	77326747	0.548466849	
12492	LOC108351240	chr6	"77735262-77751536,77744867-77751536"	141	0.250841	77758307	0.600601477	
12493	LOC108351241	chr6	86624641-86650805	2	0.424135	86648022	0.372495888	
12494	LOC108351242	chr6	88020066-88141656	55	0.177482	88065063	0.750845686	
12495	LOC108351245	chr6	89337292-89338613	2	0.305796	89327970	0.5145682	
12496	LOC108351246	chr6	89568466-89691393	206	0.345642	89635458	0.461373491	
12497	LOC108351247	chr6	90726066-90754652	71	0.000255176	90740017	3.593160175	
12498	LOC108351248	chr6	91779510-91781821	57	0.0113699	91772300	1.944243355	
12499	LOC108351250	chr6	93876191-93877690	27	0.504957	93880735	0.296745603	
